N_genomes,core,unique,pangenome
1,21100,21100,21100
1,20716,20716,20716
1,20716,20716,20716
1,22098,22098,22098
1,2050,2050,2050
1,22098,22098,22098
1,22098,22098,22098
1,20602,20602,20602
1,22098,22098,22098
1,2050,2050,2050
1,21976,21976,21976
1,21976,21976,21976
1,21357,21357,21357
1,0,0,0
1,2050,2050,2050
1,21357,21357,21357
1,22952,22952,22952
1,20602,20602,20602
1,21100,21100,21100
1,21100,21100,21100
1,22098,22098,22098
1,21357,21357,21357
1,22098,22098,22098
1,22098,22098,22098
1,21100,21100,21100
1,0,0,0
1,21357,21357,21357
1,22098,22098,22098
1,22952,22952,22952
1,22098,22098,22098
1,22952,22952,22952
1,21357,21357,21357
1,22952,22952,22952
1,21357,21357,21357
1,17444,17444,17444
1,20716,20716,20716
1,22952,22952,22952
1,21357,21357,21357
1,0,0,0
1,21976,21976,21976
1,20716,20716,20716
1,22952,22952,22952
1,21357,21357,21357
1,2050,2050,2050
1,2050,2050,2050
1,2050,2050,2050
1,2050,2050,2050
1,20602,20602,20602
1,21976,21976,21976
1,0,0,0
1,21976,21976,21976
1,20602,20602,20602
1,22952,22952,22952
1,17444,17444,17444
1,20716,20716,20716
1,0,0,0
1,22952,22952,22952
1,21100,21100,21100
1,22952,22952,22952
1,0,0,0
1,2050,2050,2050
1,17444,17444,17444
1,22952,22952,22952
1,0,0,0
1,0,0,0
1,21100,21100,21100
1,20602,20602,20602
1,21100,21100,21100
1,22098,22098,22098
1,2050,2050,2050
1,21100,21100,21100
1,2050,2050,2050
1,21357,21357,21357
1,0,0,0
1,17444,17444,17444
1,22952,22952,22952
1,21357,21357,21357
1,0,0,0
1,22098,22098,22098
1,21976,21976,21976
1,21100,21100,21100
1,21100,21100,21100
1,22952,22952,22952
1,21100,21100,21100
1,21357,21357,21357
1,21100,21100,21100
1,17444,17444,17444
1,2050,2050,2050
1,21976,21976,21976
1,21100,21100,21100
1,2050,2050,2050
1,20716,20716,20716
1,22098,22098,22098
1,21976,21976,21976
1,21100,21100,21100
1,21100,21100,21100
1,2050,2050,2050
1,21976,21976,21976
1,17444,17444,17444
1,21100,21100,21100
2,0,22952,22952
2,15935,6674,22609
2,16305,10588,26893
2,16305,10588,26893
2,841,21084,21925
2,14244,10932,25176
2,18120,6217,24337
2,16608,8486,25094
2,931,22286,23217
2,16446,8426,24872
2,801,21050,21851
2,14523,9755,24278
2,0,20716,20716
2,18540,6994,25534
2,18540,6994,25534
2,16587,9404,25991
2,14834,8492,23326
2,18540,6994,25534
2,14890,9762,24652
2,19351,6226,25577
2,755,21640,22395
2,0,22098,22098
2,16411,9992,26403
2,748,22530,23278
2,0,22098,22098
2,18540,6994,25534
2,0,22098,22098
2,0,21976,21976
2,748,22530,23278
2,18120,6217,24337
2,18123,5827,23950
2,16608,8486,25094
2,16595,10478,27073
2,16605,10245,26850
2,748,22530,23278
2,755,21640,22395
2,16347,9998,26345
2,16242,10216,26458
2,841,21084,21925
2,14834,8492,23326
2,0,17444,17444
2,0,22952,22952
2,16356,11340,27696
2,16608,8486,25094
2,0,22098,22098
2,18123,5827,23950
2,16697,10915,27612
2,19351,6226,25577
2,16587,9404,25991
2,16446,8426,24872
2,0,21976,21976
2,0,20602,20602
2,16411,9992,26403
2,755,21640,22395
2,16450,10654,27104
2,18649,4518,23167
2,0,21357,21357
2,0,22952,22952
2,0,2050,2050
2,13819,10408,24227
2,549,18396,18945
2,882,21643,22525
2,16607,9862,26469
2,16356,11340,27696
2,16595,10478,27073
2,18120,6217,24337
2,549,18396,18945
2,14523,9755,24278
2,16608,8486,25094
2,16450,10654,27104
2,16242,10216,26458
2,16446,8426,24872
2,0,22952,22952
2,14049,12298,26347
2,16352,10629,26981
2,16603,8753,25356
2,0,20602,20602
2,16603,8753,25356
2,16605,10245,26850
2,0,20602,20602
2,0,20602,20602
2,748,22530,23278
2,748,22530,23278
2,0,17444,17444
2,14834,8492,23326
2,14523,9755,24278
2,16587,9404,25991
2,16242,10216,26458
2,882,21643,22525
2,18993,7064,26057
2,931,22286,23217
2,549,18396,18945
2,18120,6217,24337
2,19351,6226,25577
2,931,22286,23217
2,882,21643,22525
2,14834,8492,23326
2,0,22952,22952
2,16605,10245,26850
2,549,18396,18945
3,15438,7882,28606
3,15064,5589,26792
3,14977,5262,26480
3,14800,4824,24642
3,13295,10424,28953
3,0,6217,24337
3,0,10629,26981
3,0,22286,23217
3,668,10806,27444
3,13250,9992,28443
3,0,5827,23950
3,592,10132,27084
3,13939,6374,25976
3,882,9747,27612
3,14676,6870,29172
3,701,10772,27788
3,584,9176,26172
3,13272,8380,26935
3,0,9762,24652
3,15317,7351,29031
3,14629,6081,28121
3,14676,6870,29172
3,667,5377,24288
3,14310,8218,29089
3,0,18396,18945
3,15375,7309,27924
3,13792,7798,26576
3,609,9019,25889
3,14629,6081,28121
3,0,7064,26057
3,15317,7351,29031
3,13272,8380,26935
3,0,9992,26403
3,15317,7351,29031
3,14333,7533,28247
3,0,10654,27104
3,543,7745,23898
3,14254,10750,28377
3,515,10397,25737
3,17332,5254,27474
3,12885,9377,28257
3,0,4518,23167
3,0,6226,25577
3,515,10397,25737
3,17005,4404,25286
3,0,8492,23326
3,13939,6374,25976
3,584,9176,26172
3,0,9762,24652
3,701,10772,27788
3,0,21050,21851
3,0,4518,23167
3,13497,7575,28225
3,13939,6374,25976
3,592,10132,27084
3,14333,7533,28247
3,0,6226,25577
3,14676,6870,29172
3,0,9404,25991
3,679,6468,24956
3,13250,9992,28443
3,0,9762,24652
3,14629,6081,28121
3,14394,8593,29555
3,13295,10424,28953
3,622,11132,27879
3,0,6226,25577
3,13792,7798,26576
3,13893,10542,28774
3,14394,8593,29555
3,0,21050,21851
3,701,10772,27788
3,14677,6468,28611
3,0,10245,26850
3,0,10588,26893
3,14968,7179,28322
3,0,12298,26347
3,0,8753,25356
3,13272,8380,26935
3,13939,6374,25976
3,14310,8218,29089
3,0,10245,26850
3,14455,6110,25778
3,14677,6468,28611
3,841,9269,27073
3,748,4924,25577
3,0,18396,18945
3,14467,7475,28343
3,841,9269,27073
3,576,10598,27382
3,622,11132,27879
3,13939,6374,25976
3,0,18396,18945
3,679,6468,24956
3,0,9404,25991
3,0,8492,23326
3,0,8426,24872
3,15412,6822,27601
3,0,9404,25991
3,0,9998,26345
4,14003,5493,29581
4,667,6761,28606
4,455,9502,29445
4,0,10944,28366
4,13476,8731,30071
4,12451,7306,30502
4,0,7369,28483
4,0,9369,26367
4,570,6234,29031
4,560,8690,29800
4,556,7121,29527
4,13474,7627,30501
4,0,7636,26555
4,0,6744,28472
4,12451,7306,30502
4,12715,6352,28319
4,668,5336,28647
4,519,8835,29804
4,0,8009,28779
4,622,5884,29172
4,0,7445,28167
4,13049,6249,28232
4,0,8218,29089
4,644,7582,29555
4,0,10496,27347
4,13144,7438,30410
4,493,6889,26840
4,505,9485,29132
4,0,9377,28257
4,571,7886,28831
4,0,8593,29555
4,455,9502,29445
4,0,6081,28121
4,12865,9134,30359
4,0,5602,26245
4,0,11132,27879
4,14003,5493,29581
4,701,5528,28995
4,0,8593,29555
4,0,6468,28611
4,0,9590,27948
4,0,10867,29173
4,13623,7110,29816
4,13859,8287,29922
4,0,8213,28886
4,0,6468,28611
4,650,4233,27474
4,0,6322,28647
4,0,10616,27586
4,0,7179,28322
4,0,6870,29172
4,0,11732,26377
4,14169,5180,29962
4,576,6098,28710
4,13744,4816,30166
4,453,8572,27650
4,14210,5397,30298
4,0,10806,27444
4,0,8213,28886
4,0,7949,29198
4,0,7445,28167
4,541,5896,27397
4,12786,8326,31118
4,0,7798,26576
4,14638,4960,29727
4,0,7949,29198
4,0,6145,28347
4,515,6360,28167
4,0,10496,27347
4,13131,6061,29355
4,13681,4433,29549
4,13781,6868,30095
4,650,4233,27474
4,0,7369,28483
4,609,7201,29089
4,588,5131,26265
4,0,7369,28483
4,505,9485,29132
4,526,6290,27755
4,0,4404,25286
4,0,10935,29724
4,13744,4816,30166
4,0,8822,29572
4,13131,6061,29355
4,13580,7674,30638
4,13580,7674,30638
4,13271,5547,30456
4,701,5528,28995
4,0,8069,28911
4,0,9590,27948
4,13527,6491,30402
4,0,9377,28257
4,0,5589,26792
4,0,9019,25889
4,0,10424,28953
4,448,6374,28225
4,498,6861,29307
4,0,7908,28547
4,0,10944,28366
4,0,7369,28483
5,0,4959,29942
5,0,5768,29948
5,0,7308,28844
5,0,5218,26725
5,11997,6531,32060
5,12295,6741,30922
5,0,6478,29520
5,12383,6913,31082
5,407,9696,31564
5,0,7877,30569
5,493,7621,30639
5,12730,6809,31316
5,0,7308,28844
5,0,5729,25762
5,11997,6531,32060
5,0,7308,28844
5,0,5547,30456
5,0,10610,29281
5,0,5131,26265
5,0,6352,28319
5,0,8047,29762
5,0,7582,29555
5,12550,5565,31319
5,0,4433,29549
5,13159,3814,30436
5,13472,4008,30419
5,0,6374,28225
5,0,9023,27930
5,0,8179,29873
5,0,4654,29361
5,0,6063,28848
5,433,8236,30958
5,0,6286,30426
5,0,6478,29520
5,12445,6463,31685
5,478,8821,30292
5,12148,6419,31718
5,13110,6802,31412
5,0,5964,29759
5,0,9502,29445
5,0,8418,30461
5,522,4403,30298
5,13170,4858,29773
5,0,5336,28647
5,394,8946,30828
5,407,9696,31564
5,424,6844,30548
5,0,5547,30456
5,0,9043,30676
5,0,6360,28167
5,12564,5630,30957
5,0,6600,29667
5,12007,6168,31441
5,13110,6802,31412
5,12550,5565,31319
5,13472,4008,30419
5,445,6513,30501
5,0,5493,29581
5,0,8685,29737
5,0,8473,29425
5,13170,4858,29773
5,13447,7186,30393
5,12826,7643,31025
5,13013,6038,31190
5,478,8821,30292
5,0,9390,31039
5,512,4583,29581
5,0,8731,30071
5,0,4275,29067
5,12826,7643,31025
5,0,11520,29350
5,0,8287,29922
5,0,10439,29062
5,0,5528,28995
5,0,9023,27930
5,419,8819,30756
5,0,8690,29800
5,0,6374,28225
5,12826,7643,31025
5,0,8011,29390
5,529,5400,30602
5,13110,6802,31412
5,12837,4593,30946
5,12703,5501,28761
5,12655,3124,30247
5,527,3968,29727
5,0,4263,29273
5,0,8731,30071
5,0,8068,29793
5,0,4816,30166
5,547,3909,30166
5,556,4804,30011
5,0,6761,28606
5,0,5964,29759
5,0,4960,29727
5,0,7110,29816
5,13247,4705,30833
5,12655,3124,30247
5,407,9696,31564
5,12445,6463,31685
6,0,5637,30661
6,383,6588,31922
6,0,9108,30971
6,441,3749,30889
6,0,5833,31605
6,0,9696,31564
6,12373,6205,31435
6,0,7554,30975
6,0,5953,27704
6,0,7474,32353
6,0,8872,30808
6,0,4583,29581
6,0,7842,30775
6,0,5460,30459
6,407,6307,31654
6,478,4945,31224
6,0,6463,31685
6,0,7162,30287
6,0,7020,29233
6,0,6940,31718
6,0,6690,30638
6,0,6504,30410
6,0,7554,30975
6,402,5528,31685
6,11766,4510,32126
6,0,5460,30459
6,12373,6205,31435
6,0,2929,29996
6,0,3197,29539
6,12089,5817,32348
6,0,4429,30573
6,453,3560,30573
6,0,6463,31685
6,0,3594,29857
6,402,6263,31885
6,0,5637,30661
6,418,3853,31118
6,0,5892,30095
6,462,3181,30810
6,393,7547,31917
6,0,6533,29993
6,474,2959,30436
6,0,7643,31025
6,0,7554,30975
6,0,4593,30946
6,0,7103,31891
6,0,6941,30526
6,383,6588,31922
6,404,6026,31718
6,0,4355,30338
6,0,4355,30338
6,0,5552,30988
6,12717,5186,31879
6,402,6263,31885
6,379,6527,32353
6,12055,5862,32291
6,0,5425,30527
6,494,4595,30558
6,12163,4655,31459
6,0,7328,30608
6,0,4242,29962
6,0,5630,30957
6,11982,4758,32388
6,431,6921,31553
6,0,6463,31685
6,0,4905,29885
6,0,4449,30574
6,455,5728,30826
6,0,6168,31441
6,455,5728,30826
6,0,4858,29773
6,0,6941,30526
6,0,5175,28227
6,0,7842,30775
6,0,5565,31319
6,0,3011,30413
6,0,7474,32353
6,402,6263,31885
6,11766,4510,32126
6,0,7907,30781
6,0,4078,30810
6,0,5075,29996
6,12373,6205,31435
6,394,6092,31891
6,394,6092,31891
6,404,6026,31718
6,0,9108,30971
6,12838,3266,30956
6,379,6527,32353
6,0,4593,30946
6,470,3120,30419
6,382,7651,31451
6,12470,5223,32249
6,0,7419,30461
6,0,7050,31198
6,12549,4767,31296
6,424,4153,30862
6,0,4525,31147
6,0,7554,30975
6,0,7221,31654
7,0,5643,32060
7,0,5244,32235
7,0,7878,31210
7,11824,4607,32604
7,0,5862,32291
7,0,3607,30830
7,0,5633,32504
7,369,4749,32504
7,408,4298,31879
7,0,5223,32249
7,0,6921,31553
7,0,7476,31852
7,0,2822,30982
7,0,6023,31212
7,0,5844,32260
7,0,7730,32069
7,0,7651,31451
7,11679,4903,32678
7,0,4938,31813
7,0,4353,31645
7,12031,2262,31326
7,0,2753,30949
7,12180,4449,32395
7,0,6882,32322
7,382,4937,32291
7,0,7651,31451
7,0,7816,31251
7,0,2968,31326
7,0,7816,31251
7,0,3779,30833
7,455,1992,30982
7,405,5684,31997
7,0,2176,30413
7,406,3887,32388
7,406,3887,32388
7,0,6589,31997
7,0,7651,31451
7,393,3675,32126
7,0,3711,30946
7,430,1872,30983
7,0,7547,31917
7,392,6858,32265
7,0,5643,32060
7,0,2959,30436
7,406,3887,32388
7,0,7730,32069
7,11679,4903,32678
7,0,5528,31685
7,0,5344,31157
7,12180,4449,32395
7,0,5643,32060
7,0,3373,30828
7,0,8173,31833
7,434,2843,31239
7,0,3595,31147
7,0,4767,31296
7,0,6307,31654
7,0,5728,30826
7,0,6195,29666
7,382,4937,32291
7,0,5557,30651
7,366,5045,32557
7,406,3887,32388
7,0,4938,31813
7,0,3595,31147
7,0,3595,31147
7,382,4937,32291
7,0,6921,31553
7,367,6724,32090
7,0,5229,32110
7,12031,2262,31326
7,392,6858,32265
7,0,6285,31812
7,0,2753,30949
7,0,4698,31319
7,0,6285,31812
7,434,2843,31239
7,0,5528,31685
7,0,5229,32110
7,0,7476,31852
7,0,3853,31118
7,0,3721,31239
7,434,2843,31239
7,0,6205,31435
7,0,5344,31157
7,0,3853,31118
7,366,5045,32557
7,0,5223,32249
7,0,3373,30828
7,0,7496,31864
7,0,8173,31833
7,0,4353,31645
7,0,5229,32110
7,386,5440,32145
7,0,3181,30810
7,367,6724,32090
7,386,5440,32145
7,0,3560,30573
7,399,4656,32013
7,388,4374,32110
8,406,1432,31326
8,0,3675,32126
8,0,2843,31239
8,0,4937,32291
8,0,4374,32110
8,0,1872,30983
8,0,5045,32557
8,406,1432,31326
8,0,2262,31326
8,0,4901,32348
8,372,3749,32604
8,0,5036,32479
8,0,2262,31326
8,386,3600,32395
8,0,4903,32678
8,11474,3482,32765
8,0,5684,31997
8,0,4749,32504
8,406,1432,31326
8,11474,3482,32765
8,0,2843,31239
8,0,4978,32260
8,358,3317,32625
8,0,4175,32765
8,367,4025,32678
8,0,4449,32395
8,0,3675,32126
8,367,4025,32678
8,0,5045,32557
8,0,4699,32587
8,0,4374,32110
8,0,4080,31813
8,0,2538,31149
8,372,3749,32604
8,0,2417,30956
8,0,4386,32235
8,0,4656,32013
8,0,2843,31239
8,0,5684,31997
8,0,5036,32479
8,0,4903,32678
8,0,1992,30982
8,0,4978,32260
8,11474,3482,32765
8,0,1992,30982
8,0,4903,32678
8,366,3304,32765
8,367,4025,32678
8,0,4151,32625
8,406,1432,31326
8,0,3650,31824
8,0,4937,32291
8,0,5350,32317
8,0,3971,32421
8,0,4386,32235
8,358,3317,32625
8,0,4374,32110
8,0,5684,31997
8,386,3600,32395
8,0,2097,31326
8,0,4298,31879
8,0,5684,31997
8,366,3304,32765
8,386,3600,32395
8,0,6724,32090
8,0,6858,32265
8,406,1432,31326
8,0,3650,31824
8,366,3304,32765
8,392,3141,32421
8,0,5350,32317
8,0,4903,32678
8,392,3141,32421
8,0,3887,32388
8,0,4175,32765
8,358,3317,32625
8,0,6724,32090
8,0,4374,32110
8,357,4340,32654
8,0,4374,32110
8,0,4937,32291
8,0,6724,32090
8,0,3650,31824
8,0,5036,32479
8,0,4449,32395
8,0,4699,32587
8,372,3749,32604
8,0,4749,32504
8,0,4937,32291
8,372,3749,32604
8,0,4151,32625
8,0,4978,32260
8,0,4901,32348
8,372,3749,32604
8,0,4903,32678
8,0,2538,31149
8,366,3304,32765
8,0,2097,31326
8,0,5684,31997
8,0,3887,32388
9,357,2652,32765
9,0,1432,31326
9,0,4025,32678
9,0,3141,32421
9,0,3749,32604
9,0,3600,32395
9,0,3600,32395
9,0,3600,32395
9,0,4025,32678
9,0,3749,32604
9,357,2652,32765
9,0,3482,32765
9,0,1432,31326
9,0,3749,32604
9,0,1432,31326
9,0,3304,32765
9,357,2652,32765
9,0,3317,32625
9,357,2652,32765
9,0,4025,32678
9,0,3317,32625
9,357,2652,32765
9,0,4025,32678
9,357,2652,32765
9,0,3141,32421
9,0,4340,32654
9,0,4340,32654
9,0,3600,32395
9,0,4025,32678
9,0,1432,31326
9,0,4340,32654
9,0,3482,32765
9,0,3749,32604
9,0,3600,32395
9,0,4340,32654
9,0,3749,32604
9,0,4025,32678
9,0,3600,32395
9,0,3304,32765
9,0,4025,32678
9,0,3749,32604
9,0,3141,32421
9,357,2652,32765
9,0,3482,32765
9,0,3304,32765
9,357,2652,32765
9,357,2652,32765
9,0,3304,32765
9,0,3482,32765
9,0,3482,32765
9,0,3141,32421
9,0,3304,32765
9,0,3749,32604
9,0,3482,32765
9,0,1432,31326
9,0,3317,32625
9,0,3141,32421
9,0,4340,32654
9,0,3141,32421
9,0,1432,31326
9,0,3141,32421
9,0,3317,32625
9,0,3600,32395
9,0,1432,31326
9,0,1432,31326
9,0,3749,32604
9,0,3141,32421
9,0,1432,31326
9,357,2652,32765
9,0,4025,32678
9,357,2652,32765
9,357,2652,32765
9,0,4340,32654
9,0,3141,32421
9,0,3482,32765
9,0,3749,32604
9,0,3482,32765
9,0,3304,32765
9,0,3749,32604
9,0,3749,32604
9,0,3749,32604
9,357,2652,32765
9,357,2652,32765
9,0,3600,32395
9,0,3141,32421
9,0,3749,32604
9,0,3749,32604
9,0,4025,32678
9,357,2652,32765
9,0,3482,32765
9,0,3317,32625
9,357,2652,32765
9,0,1432,31326
9,0,3317,32625
9,357,2652,32765
9,0,3317,32625
9,0,4025,32678
9,0,3749,32604
9,0,3749,32604
9,0,3304,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
